title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
Apartment for sale 165m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",165,3,3,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",1908398,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492215.html
Apartment At Lowest Price in New Capital Over 10Y,Apartment,"Entrada, New Capital Compounds, New Capital City, Cairo",161,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'Shared Gym', ""Children's Pool""]",7500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-entrada-7492197.html
Apartment for sale 131m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",131,3,2,"['Study', 'Balcony', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2166706,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492111.html
Apartment for sale 132m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",132,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2103200,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492110.html
Apartment for sale 122m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",122,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",1574961,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492109.html
Own a resale APT at the best price in Al Maqsed,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",133,3,2,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",4298552,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492107.html
Apartment for sale 150m in Maqsed Special View,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",150,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Shared Gym']",2603710,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7492106.html
NewCairo finished Twin Ready to move + installment,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",200,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",34000000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7492059.html
Limited time own Town RTM finished | installments,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",188,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",5000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7491987.html
Apartment for sale in Entrada New Capital,Apartment,"Entrada, New Capital Compounds, New Capital City, Cairo",117,2,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'Shared Gym', ""Children's Pool""]",5356000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-entrada-7491930.html
For First time Villas Finished RTM + Long Payment,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",190,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",32000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7491925.html
Ready to move finished villa with DP + installment,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",185,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",28000000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7491865.html
باقل من سعر السوق امتلك دوبلكس390م في ممشي المقصد,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",5304628,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491152.html
Own a 390m² duplex on Al Maqsad,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4851137,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491142.html
باقل من سعر السوق امتلك دوبلكس390م في ممشي المقصد,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,4,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",5693603,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491134.html
باقل من سعر السوق امتلك دوبلكس390م في ممشي المقصد,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",8084854,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491130.html
134m Apartment in el maqsed fully finished,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",134,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3900000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491120.html
Own a 390m² duplex on Al Maqsad,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",12000000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491080.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",6030139,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491044.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",6409735,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491036.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",5517200,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7491009.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4478840,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490978.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",5866572,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490936.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2592897,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490890.html
DUPLEX390M in el maqsed fully finished,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'View of Landmark', 'Lobby in Building']",10250000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490882.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",5246748,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490873.html
DUPLEX390M in el maqsed fully finished,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",10250000,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490862.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4847486,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490849.html
DUPLEX390M in el maqsed fully finished,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",16655758,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490813.html
DUBLEX 390M in el maqsed fully finished,Duplex,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",390,4,3,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",16323658,https://www.propertyfinder.eg/en/plp/buy/duplex-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490773.html
Apartment 111M in el maqsed fully finished,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",111,2,2,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Lobby in Building']",2341337,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490764.html
Apartment in Al Maqsed fully finished lowest price,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",163,3,3,"['Study', 'Balcony', 'Security', 'View of Landmark', 'Lobby in Building']",2647258,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490762.html
Apartment in Al Maqsed fully finished lowest price,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",166,3,3,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4137981,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490761.html
Apartment in Al Maqsed fully finished lowest price,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",171,3,3,"['Study', 'Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",10124000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490759.html
Apartment in el maqsed fully finished lowest price,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",181,3,3,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3272750,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490758.html
Apartment in el maqsed fully finished lowest price,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",185,3,3,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",6732200,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490757.html
Apartment Prime Location On Diplomatic Direct+5%DP,Apartment,"Pukka, New Capital Compounds, New Capital City, Cairo",150,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7740000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-pukka-7490743.html
Apartment for sale 144m Al Maqsad special view,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",144,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3633600,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490736.html
شقة 93م للبيع في City Oval  فيو جاردن وبحيرات ,Apartment,"City Oval, New Capital Compounds, New Capital City, Cairo",93,2,1,"['Balcony', 'Security']",3982948,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-city-oval-7490717.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",1978179,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490700.html
Apartment for sale 155m Al Maqsad special view,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",155,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2313656,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490645.html
RTM Apartment in PRIME Location-DP 620K - INST 10Y,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",145,2,2,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",6200000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490627.html
121m Apartment in el maqsed fully finished ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Study', 'Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2414971,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490585.html
 Apartment 150m in el-maqsed fully finished,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",150,3,2,"['Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Shared Gym', 'Lobby in Building']",3446461,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490521.html
Apartment for sale 149m Al Maqsad special view,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",149,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",2615000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7490338.html
